,RandomOverSampler,RandomUnderSampler,TomekLinks,SMOTE,NearMiss
LogisticRegression,0.8580645161290322,0.5612903225806452,0.5741935483870968,0.864516129032258,0.2064516129032258
RandomForest,0.9935483870967742,0.6,0.7096774193548387,0.9935483870967742,0.3935483870967742
SVM,0.6967741935483871,0.7483870967741936,0.6258064516129033,0.6645161290322581,0.34838709677419355
XGBoost,0.9935483870967742,0.6838709677419355,0.6,0.9935483870967742,0.0967741935483871
MLP,0.9612903225806452,0.6774193548387096,0.7161290322580646,0.9290322580645162,0.44516129032258067
